intercept,long,lat,age,TLA,rooms,lotsize,syear1994,syear1995,syear1996,syear1997,syear1998,ages_sq,log_price
1,48.800887177593,19.6986953492323,0.63,6.86693328446188,6,10.5186731916264,0,0,1,0,0,0.3969,10.819778284410283
1,48.9111940944044,19.7044060785028,0.3,8.35585004100747,10,11.5926604329891,0,0,0,0,1,0.09,12.66032791780777
1,48.8410653460729,19.7307117100664,0.07,7.34083555412327,5,12.2395074216164,0,0,0,0,1,0.0049,11.951180395901384
1,48.8468016325335,19.7505278092322,1.22,7.60090245954208,6,10.4716382429214,0,0,0,1,0,1.4884,11.686878772093667
1,48.517855526557504,19.7842371057514,0.11,7.55590509361135,6,11.4314225250096,0,0,0,0,0,0.0121,11.813030057420567
1,49.0108565886191,19.7848444407962,0.21,7.26892012819372,5,12.2657556476913,0,0,0,0,1,0.0441,12.254862809699606
1,48.5160916309821,19.8913382607837,0.77,6.55961523749324,4,10.9923188293491,0,0,0,1,0,0.5929,11.26446410567173
1,48.9287298172191,19.944730298799,0.41,6.89568269774787,5,9.95227771670556,1,0,0,0,0,0.1681,10.819778284410283
1,48.6795830747156,19.9779261762529,0.97,6.76388490856244,4,10.7166375254908,0,0,1,0,0,0.9409,10.858998997563564
1,49.4061918410108,20.0575987665692,0.24,8.49617382419216,9,11.1995015630258,0,0,0,1,0,0.0576,12.799399490807907
1,49.468637890043404,20.0757974629433,0.47,7.48436864328613,5,11.4793686814414,0,0,0,1,0,0.2209,11.84939770159144
1,48.596072335746804,20.1095386570396,0.15,6.96224346426621,6,11.5113241836033,0,1,0,0,0,0.0225,11.127262984158243
1,49.503326894062894,20.1246232061286,0.05,7.48380668766583,5,10.8473934514433,0,0,0,0,1,0.0025,11.512925464970229
1,48.862640641914304,20.1719796931004,0.26,7.85243908535751,9,10.6818945770469,0,0,1,0,0,0.0676,12.151616459734115
1,48.6972277022599,20.2388832456975,0.08,7.60190195987517,6,11.4156984492091,0,0,0,1,0,0.0064,12.081076155355488
1,48.5410509166415,20.2496986551353,0.08,7.32580750259577,5,12.2681080364496,0,0,1,0,0,0.0064,11.99535161421452
1,48.6769958480196,20.2962667457664,0.69,7.21376830811864,5,11.2910311330565,0,0,0,1,0,0.4761,11.002099841204238
1,48.5080634248653,20.321505276359,0.05,7.9168074909376,8,12.2615073524183,0,1,0,0,0,0.0025,12.072541252905651
1,48.5496430880795,20.3244268653097,0.52,7.07665381544395,7,8.88183630500415,0,1,0,0,0,0.2704,11.127262984158243
1,48.5283266337839,20.343344933497203,0.49,7.24992553671799,5,8.96187901267768,0,0,0,1,0,0.2401,11.27720313144916
1,48.5605051267655,20.345460054576,0.52,7.50878717063428,7,8.9226582995244,0,0,1,0,0,0.2704,11.612770799939945
1,48.6559858231746,20.3490535328018,0.09,7.36010397298915,6,11.0413205543575,0,0,1,0,0,0.0081,11.877568578558138
1,48.4595415436777,20.3622368870992,0.26,7.80954132465341,10,11.308358299229,0,1,0,0,0,0.0676,11.813030057420567
1,48.5140744543536,20.3668950306417,0.44,7.29573507274928,6,9.38429367909962,0,0,0,0,0,0.1936,11.156250521031495
1,48.5254060689514,20.3753023634881,0.24,7.13409372119287,6,8.8246778911642,0,0,1,0,0,0.0576,10.736396675471232
1,48.927834634639495,20.3711047003526,0.21,7.8898337513943,6,10.6452105885888,0,1,0,0,0,0.0441,11.747997587149712
1,48.7735150923544,20.3885401480712,0.02,7.44307837434852,6,10.6818945770469,0,0,1,0,0,0.0004,9.769956159911606
1,48.8802918365438,20.3984644051148,0.17,7.5569505720129,9,10.7077287806017,0,0,1,0,0,0.0289,11.970350312009105
1,48.8604656037166,20.3989229483728,0.21,7.45298232946546,6,10.7077287806017,0,0,0,0,0,0.0441,11.83862560460953
1,48.8006710948192,20.399851276782503,0.07,7.65207074611648,6,10.9373124001998,0,0,0,0,0,0.0049,11.669929213779893
1,49.017591124471,20.3981466737028,0.86,7.49108759353488,8,10.8356516335666,1,0,0,0,0,0.7396,11.711776323715394
1,49.561009833865505,20.395595776586298,0.97,7.64683139143048,7,11.7117763237154,0,0,0,1,0,0.9409,12.100156419938624
1,48.5237753685264,20.4339749434026,0.47,7.02019070831193,6,10.0123419574482,0,0,0,0,0,0.2209,11.225243392518447
1,48.862323487907396,20.4767011333076,0.1,7.84267147497946,8,12.2681080364496,0,1,0,0,0,0.01,12.205572520488492
1,49.415548674841205,20.472502486882,0.42,7.63675211243578,5,12.2347621379926,0,1,0,0,0,0.1764,11.982929094215963
1,48.7421199529105,20.484969920797898,0.05,7.59287028784482,7,12.2741844623357,0,1,0,0,0,0.0025,12.028738630247258
1,48.742072519911,20.490002278635902,0.04,7.88193748927207,7,12.2743852857123,0,0,0,0,1,0.0016,12.425208175446844
1,49.0727275689661,20.4880300623205,0.07,7.88795933659994,8,12.2433684302739,0,0,0,1,0,0.0049,12.429216196844383
1,48.7690204638623,20.502648307066202,0.43,7.2211050981825,7,11.2733984344055,0,0,0,0,0,0.1849,11.49272275765271
1,48.5255752720071,20.5163855898674,0.22,6.96318998587024,4,10.6501755000241,0,0,1,0,0,0.0484,10.778956289890028
1,48.9177533441341,20.511454199107202,0.6,7.20042489294496,6,10.6016222746071,0,0,1,0,0,0.36,11.49272275765271
1,48.872782061436396,20.5135952069749,0.06,7.78572089653462,6,12.7751152892815,0,0,0,1,0,0.0036,11.891361900690473
1,48.7662279348923,20.524050807631003,0.12,8.0481491016652,6,10.9802120414462,0,0,0,1,0,0.0144,12.137258329529814
1,49.5505483194474,20.5132483528509,1.22,7.59337419312129,8,11.4070203566043,0,1,0,0,0,1.4884,11.682668239557323
1,48.8219849368791,20.577307540971,0.21,7.71957398925958,7,12.2681080364496,0,1,0,0,0,0.0441,12.144197241812087
1,48.5883663950737,20.584697681036502,0.2,7.56941179245071,6,12.2543865058087,0,1,0,0,0,0.04,11.951180395901384
1,48.6305757655256,20.6102173625497,0.18,7.75491027202143,7,12.2600872338364,0,0,1,0,0,0.0324,11.925035115797062
1,49.8714982510608,20.606021925502,1.12,7.90507284949867,8,11.4703519374112,0,0,1,0,0,1.2544,12.487485104968359
1,49.8492850164458,20.6090970141932,0.47,7.49720722320332,7,10.6758848190357,0,1,0,0,0,0.2209,11.904967552746252
1,48.6123777698705,20.6295399208594,0.04,7.20340552108309,6,10.6788826997054,0,1,0,0,0,0.0016,11.651817463836847
1,48.610075754112806,20.6478143156673,0.08,7.48211892355212,7,11.5511841770873,0,0,0,0,1,0.0064,11.711776323715394
