intercept,long,lat,age,TLA,rooms,lotsize,syear1994,syear1995,syear1996,syear1997,syear1998,ages_sq,log_price
1,50.8605945922247,22.058167102960898,0.74,6.64639051484773,4,9.12804512924935,0,0,0,1,0,0.5476,10.431170293368542
1,51.174692736523305,22.3493297044878,0.89,7.539027055824,7,8.83927669058535,0,1,0,0,0,0.7921,10.819778284410283
1,50.8113884843963,21.572874932414898,0.72,7.33693691370762,7,8.55641390456952,0,0,1,0,0,0.5184,11.59910316121128
1,50.6941119663693,22.2805198566381,0.71,7.57660976697304,7,8.9226582995244,0,0,0,1,0,0.5041,11.938193200374572
1,50.8274059945793,22.5483266473172,0.48,7.10332206252611,5,8.47637119689598,0,0,0,0,1,0.2304,10.839580911706463
1,50.8080122956948,22.527012084935098,0.75,7.57609734062311,8,8.69951474821019,0,0,0,0,0,0.5625,11.144756141605761
1,51.5556171250497,21.825334077161898,0.84,6.84161547647759,6,8.1886891244442,0,0,0,1,0,0.7056,9.574983485564092
1,51.151505183867805,22.8299136643292,0.31,7.37525577800975,6,8.69951474821019,0,1,0,0,0,0.0961,11.350406535472453
1,49.8101699938966,20.8156815863673,0.02,7.67971363996637,7,9.50278608027699,0,0,1,0,0,0.0004,10.51867319162636
1,51.1967637059356,22.7257958321389,0.76,7.24708058458576,7,8.66561319653451,0,0,0,1,0,0.5776,11.002099841204238
1,50.9775358566496,22.930936397973202,0.38,6.88243747099785,6,8.85366542803745,0,0,0,0,1,0.1444,11.170435156023453
1,51.548659834416,21.8103980077563,0.92,6.91174730025167,5,8.1886891244442,0,0,1,0,0,0.8464,8.942460926820582
1,49.1399230512777,20.8621072921766,0.31,7.83399634170946,8,10.2989023247908,0,0,0,0,1,0.0961,12.204571519403906
1,51.5518962650077,21.8679957165689,0.85,7.32909373624659,6,8.38935981990635,0,1,0,0,0,0.7225,10.558413520275876
1,50.9578974877195,21.8441658135123,0.78,6.97541392745595,6,8.10167774745457,0,0,1,0,0,0.6084,10.221941283654663
1,50.1690052039067,22.3546948968231,0.17,7.36137542897735,6,9.22029070282935,1,0,0,0,0,0.0289,11.26446410567173
1,49.6364352323871,22.3128037791952,0.41,7.16703787691222,5,8.34283980427146,0,0,1,0,0,0.1681,11.407564949312402
1,49.929763644831496,22.4902217658431,0.16,7.26403014289953,5,9.24956108512946,0,0,0,0,1,0.0256,11.797352244701337
1,49.7691385886957,22.678823349904,0.1,7.95542508891267,8,9.83091685970129,1,0,0,0,0,0.01,12.154779351142624
1,49.938821019476,22.488885453195202,0.18,7.86018505747217,9,9.27799902045,0,0,0,0,1,0.0324,12.0015054797889
1,50.258354843842696,22.6226967382545,0.26,8.39298958795693,9,10.5687495296065,0,0,1,0,0,0.0676,13.005829561148378
1,50.6006446152506,22.6861519354983,0.52,7.06987412845857,5,9.22029070282935,0,0,1,0,0,0.2704,11.184421397998193
1,51.0616917789177,22.5095269950667,0.82,7.0475172213573,6,7.78322401633604,0,0,0,1,0,0.6724,10.736396675471232
1,50.5882939472649,21.5656324519293,0.37,7.51316354523408,6,9.12695876303713,0,1,0,0,0,0.1369,11.55214617812351
1,49.7374325324743,22.073753863906102,0.5,6.91075078796194,4,11.3597742854761,0,0,0,0,1,0.25,11.018629143155449
1,49.8726247592656,22.7406868605603,0.12,7.92153563213355,8,9.51782507172414,1,0,0,0,0,0.0144,12.220961258023925
1,50.6781368034211,22.8218773349983,0.47,7.11963563801764,6,8.94897560784178,0,0,1,0,0,0.2209,11.119882876860622
1,50.812873747944096,22.205065261692997,0.73,7.23561914106675,6,8.34283980427146,1,0,0,0,0,0.5329,10.63344870621879
1,49.9434726011848,22.286027441354097,0.19,7.68432406768116,8,9.65502619323763,0,0,0,1,0,0.0361,12.079374992484215
1,51.4185831975827,22.409641312423,0.75,7.34471905414967,7,8.13153071060425,0,0,0,0,0,0.5625,9.798127036878302
1,50.4563027633768,22.188014289759302,0.35,7.68248244653451,8,9.48797210857446,0,0,0,1,0,0.1225,11.740061037553975
1,50.3193063906802,21.883837426433,0.24,6.95081476844258,4,8.85366542803745,0,1,0,0,0,0.0576,10.991207400037814
1,50.898223985284005,22.2115437978725,0.79,8.45467928602699,10,10.1811192891344,0,1,0,0,0,0.6241,12.367340793126296
1,51.289722818500394,22.6934620304062,0.41,6.94697599213542,5,8.47637119689598,0,0,1,0,0,0.1681,10.915088464214607
1,49.8022654186829,21.5694025521336,0.59,7.49665243816828,4,10.9313196591432,0,0,1,0,0,0.3481,11.512925464970229
1,51.270747180814595,22.6964446655638,0.71,7.02731451403978,6,8.47637119689598,0,0,0,0,1,0.5041,11.092854204472703
1,50.275196795206206,22.6563050982605,0.33,7.88908440703551,8,9.5324238711453,1,0,0,0,0,0.1089,12.367340793126296
1,50.7320606251345,22.9504363941031,0.3,7.36770857237437,7,8.8246778911642,0,0,0,0,0,0.09,11.456355113481834
1,50.9081467122527,22.6991631877164,0.45,6.91968384984741,5,9.36734412078585,0,1,0,0,0,0.2025,11.320553572322773
1,50.3591638781695,22.8566688318961,0.09,7.46164039220858,5,9.79255599182885,0,0,0,0,0,0.0081,11.820410164718188
1,50.9055086964696,22.4606383793493,0.72,6.68461172766793,5,8.07090608878782,0,0,0,1,0,0.5184,10.505067539570582
1,50.7984270832655,22.6332445701286,0.46,7.04838640872188,6,8.45531778769815,0,0,0,1,0,0.2116,11.418614785498987
1,51.157624670933295,22.2921895355834,0.92,8.25400859056484,10,8.96187901267768,0,1,0,0,0,0.8464,11.407564949312402
1,50.4020499815759,21.2740132145465,0.13,7.15695636461564,5,8.96187901267768,0,0,1,0,0,0.0169,11.678439903447801
1,50.2192945651507,22.1249769930532,0.63,7.37211802833779,7,9.77565418102624,0,1,0,0,0,0.3969,11.082142548877775
1,50.995404831809104,21.850042368287,0.77,7.03085747611612,6,8.41183267575841,0,0,0,1,0,0.5929,10.933106969717286
1,50.9844670589464,22.5871796001513,0.76,7.5422134631934,6,8.57546209954021,1,0,0,0,0,0.5776,10.927035001141991
1,50.1128295515799,22.254122460975,0.21,7.51534457118044,6,9.11602969250494,0,0,0,1,0,0.0441,11.603679828238693
1,50.713659412225596,21.468664441493598,0.72,7.20340552108309,6,8.97461803845511,0,0,0,0,1,0.5184,11.33857207782545
1,50.8417708119783,22.5089799356811,0.57,7.11882624906208,6,8.47637119689598,0,0,0,0,1,0.3249,11.211820372186306
1,50.5888947927541,21.3653384936158,0.41,7.11639414409346,5,8.74830491237962,0,0,0,1,0,0.1681,11.215193056664946
1,51.082037309987,22.5099543638362,0.8,7.10987946307227,6,8.38935981990635,0,1,0,0,0,0.64,10.431170293368542
1,50.5163013670913,21.641420317772102,0.3,7.60539236481493,8,9.10497985631836,0,0,0,0,1,0.09,11.863582336583399
1,51.3311564375786,22.3711483652047,0.88,7.08002649992259,7,8.1886891244442,0,0,0,1,0,0.7744,10.165851817003619
1,50.8111600367451,22.023469089565,0.44,7.07326971745971,4,8.43381158247719,0,0,0,0,1,0.1936,11.00043178410354
1,50.0223379072882,22.2762979142348,0.42,6.81563999007433,5,10.0475878965099,0,0,0,0,1,0.1764,11.37366339763672
1,51.1895630492439,22.76754783338,0.5,7.04577657687951,6,8.59415423255237,0,0,1,0,0,0.25,11.184421397998193
1,50.9917300020024,22.2961721178501,0.97,7.07580886397839,5,8.07090608878782,0,0,0,0,1,0.9409,8.699514748210191
1,51.1132779582087,22.3787914976804,0.95,7.1074254741107,6,8.07090608878782,0,0,0,0,1,0.9025,8.922658299524402
1,51.534084308350096,21.7288631363148,0.5,7.02286808608264,5,8.29404964010203,0,0,0,0,0,0.25,10.736396675471232
1,50.849937458292,22.4137406844194,0.35,7.22766249872865,6,8.47637119689598,1,0,0,0,0,0.1225,11.05089000537367
1,49.5167488115911,21.904402876976,0.04,8.13035354743124,9,9.73506890091116,0,0,1,0,0,0.0016,12.948009990259552
1,50.5702081584816,22.879321462522,0.44,6.73340189183736,5,9.33255800470043,0,0,0,1,0,0.1936,10.789319076925574
1,51.1817977354496,22.358362621034,0.9,7.7591874385078,8,8.77955745588373,0,0,1,0,0,0.81,11.320553572322773
1,51.3943426751012,22.4671982329207,0.46,7.33888813383888,4,8.10167774745457,0,1,0,0,0,0.2116,10.933106969717286
1,50.7679603923133,22.012953760373797,0.82,6.55677835615804,5,8.1886891244442,0,1,0,0,0,0.6724,9.210340371976184
1,51.2401887238465,22.3643759283073,0.89,7.56216163122565,6,8.76405326934776,0,1,0,0,0,0.7921,10.373491181781864
1,50.5451859749574,22.6877830360731,0.44,7.22766249872865,6,9.0825070004663,0,0,0,0,0,0.1936,11.225243392518447
1,50.9355333514685,21.8116889345157,0.49,6.64768837356333,4,8.1886891244442,0,0,1,0,0,0.2401,10.714417768752456
1,50.8996280720658,22.3362188473171,0.72,7.77233157516961,7,8.90923527919226,0,0,0,0,0,0.5184,11.27720313144916
1,51.159062020775195,22.594173853833603,0.82,7.18841273649695,6,8.24275634571448,0,0,1,0,0,0.6724,10.819778284410283
1,50.4805246094568,22.9047851608325,0.34,7.04925484125584,6,8.80986280537906,0,0,0,0,0,0.1156,11.002099841204238
1,50.4645244002047,21.544053268339102,0.32,7.64969262371151,8,9.45720044990771,0,0,0,1,0,0.1024,11.771436160121729
1,50.8907696127525,22.1816915345719,0.63,8.07868822922987,10,8.94897560784178,0,0,0,0,0,0.3969,11.883799128308773
1,51.342993113428,22.4084503640806,0.97,6.63331843328038,5,8.1605182474775,0,1,0,0,0,0.9409,9.629050706834368
1,50.661943777926595,21.2443501986132,0.5,7.71423114484909,8,11.0202671451597,0,0,0,0,1,0.25,12.729320789294722
1,50.894042624193304,22.4639255252036,0.53,7.12447826249342,5,8.36637030168165,0,0,0,1,0,0.2809,10.896739325546411
1,50.4719932120178,22.7892873662938,0.59,6.73340189183736,4,9.75266466280154,0,0,0,0,1,0.3481,10.968198289528557
1,51.3919918539851,22.4388687495641,0.62,6.87005341179813,5,8.41183267575841,0,0,1,0,0,0.3844,10.239959789157341
1,51.1109958127365,21.9451529198226,0.84,6.77992190747225,5,8.10167774745457,0,0,0,1,0,0.7056,9.210340371976184
1,50.6181204623396,22.8911744597496,0.53,7.02108396428914,5,9.12695876303713,0,0,0,0,1,0.2809,11.225243392518447
1,50.4363887399741,21.2050071013694,0.34,6.98007594056176,5,8.66561319653451,0,0,0,0,0,0.1156,11.104957226643945
1,50.0336501605244,21.859808171062298,0.42,6.76157276880406,5,9.16951837745593,1,0,0,0,0,0.1764,10.46310334047155
1,51.1420873507451,21.8510941817926,0.97,7.23705902612474,7,8.36637030168165,0,0,0,0,1,0.9409,10.349774655164548
1,50.8642403921976,22.369152665400797,0.76,7.14598446771439,6,8.59415423255237,0,0,0,0,1,0.5776,11.177452728682098
1,50.8860073579187,21.804610978726,0.58,6.97541392745595,5,8.97461803845511,0,0,0,1,0,0.3364,10.993731591533722
1,50.592363478326796,22.8846544306171,0.51,6.97073007814353,5,8.63052187672324,0,0,0,0,0,0.2601,11.030849254490224
1,51.3827236643362,22.4037347388306,0.92,6.77536609093639,6,8.1605182474775,0,0,1,0,0,0.8464,9.71414138080521
1,50.5288345038334,22.856567273103302,0.39,6.86693328446188,5,8.86785006302941,0,0,0,1,0,0.1521,11.05089000537367
1,50.6630105174637,22.826714821350198,0.73,7.21744343169653,6,8.53699581871242,0,1,0,0,0,0.5329,10.968198289528557
1,50.140299921623,21.5202542895166,0.31,7.55799495853081,6,10.2470772569262,0,1,0,0,0,0.0961,11.931635799828413
1,51.246282019144,21.847754529725698,1.12,6.84374994900622,6,8.29404964010203,0,0,0,0,1,1.2544,9.22029070282935
1,51.0171008339642,21.995268899097898,1.1,7.26122509197192,9,8.1886891244442,0,0,0,0,1,1.21,8.229511118964457
1,50.8895297648218,22.46061654642,0.72,6.65544035036765,5,8.3187422526924,0,1,0,0,0,0.5184,10.46310334047155
1,50.995534613221,22.665983931850498,0.54,6.98100574072173,5,8.49699048409872,0,0,0,0,1,0.2916,11.156250521031495
1,51.0363219633141,22.5654441989787,0.77,7.28961052145117,6,8.66561319653451,0,0,0,0,1,0.5929,11.231887935237117
1,50.919772761055796,22.4606931150762,0.82,7.51643330291563,6,8.07090608878782,0,0,1,0,0,0.6724,10.924138299734526
1,50.7682788373184,22.6629737574876,0.49,7.18538701558042,7,8.79482492801452,0,1,0,0,0,0.2401,11.089805421623343
1,50.6275530859449,22.049062403328698,0.1,6.92755790627832,5,8.96187901267768,0,0,0,0,0,0.01,10.968198289528557
1,50.3199694581183,22.616618551740302,0.16,8.04012466444838,9,9.69892038679485,0,0,0,0,1,0.0256,12.542544882151386
1,50.377499113821905,21.6352582894597,0.28,7.76684053708551,8,9.43348392329039,0,1,0,0,0,0.0784,11.642812725804651
1,50.8195873870255,21.6207103002861,0.49,7.00124562206948,6,9.48797210857446,1,0,0,0,0,0.2401,11.156250521031495
1,51.038847220662,22.5858953838357,0.76,7.21670948670946,6,8.41183267575841,0,0,1,0,0,0.5776,11.00043178410354
1,50.4537772958498,21.5319540480418,0.31,7.70885960104718,6,9.42545175159313,0,0,0,1,0,0.0961,11.884489021402711
1,50.9217774841177,22.2726844491922,0.74,7.25276241805319,6,8.34283980427146,0,0,0,1,0,0.5476,10.545341438708522
1,50.518570735813896,21.3148477377423,0.35,7.06987412845857,6,8.88183630500415,0,1,0,0,0,0.1225,11.356271654924852
1,50.8278795206193,21.6740316415838,0.77,6.91174730025167,6,8.36637030168165,0,0,0,0,1,0.5929,10.404262840448617
1,50.7278524459324,22.5016841582319,0.7,7.35500192110526,6,8.69951474821019,0,0,0,1,0,0.49,11.429543856031177
1,50.5115153639641,22.0651305726814,0.5,7.19443685110033,7,9.02401079378469,0,1,0,0,0,0.25,10.968198289528557
1,50.889248465918904,22.6558026798882,0.95,7.33367639565768,6,9.85219425814858,0,0,1,0,0,0.9025,11.231887935237117
1,50.3423009997517,22.7958446004459,0.09,8.59618919764273,11,9.84161214881804,0,0,0,0,0,0.0081,13.060487973686241
1,50.2346777750142,22.0850605234333,0.4,7.45124168498768,7,10.0218037793542,0,0,0,1,0,0.16,11.48246625748552
1,51.404850004853195,22.268750637437602,1.22,6.78897174299217,5,8.1886891244442,0,0,0,0,1,1.4884,8.517193191416238
1,51.444367017588,22.4452696372527,0.25,7.09007683577609,5,8.3187422526924,0,0,0,1,0,0.0625,10.203592144986466
1,51.184804656422706,21.8346024716977,1.12,7.13329595489607,7,8.45531778769815,0,1,0,0,0,1.2544,9.769956159911606
1,51.5581938921931,22.0922559253413,1.02,6.84374994900622,6,8.21608809863232,0,0,0,1,0,1.0404,9.615805480084347
1,50.5015447921873,22.7769702805608,0.33,7.51752085060303,7,8.80986280537906,0,0,0,1,0,0.1089,11.703545824578878
